masked_modality,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,model,seed,n_features,features,task_mode,macro_f1_drop
none,0.9115549215406562,0.8671743562738823,0.8102977251028606,0.8390945877405047,0.9652562402448598,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.5977175463623395,0.33096366508688785,0.2572130141190915,0.05653659654079657,0.5711925208561629,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5530847109837691
mri_derived,0.9229671897289586,0.8813802136077018,0.8287334886517289,0.858772175275617,0.9728971045200007,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,-0.018435763548868334
genetic,0.9015691868758916,0.863820364294298,0.7984695461552375,0.822294313447422,0.9669878596274456,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.011828178947623114
demographic,0.891583452211127,0.8627334224490623,0.7885543561509226,0.807332614874981,0.9619595221843795,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.021743368951937958
none,0.9144736842105263,0.8727253612879267,0.8242371163118825,0.844407978658066,0.9762338768539623,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.5842105263157895,0.3238512035010941,0.2738205365402405,0.15759344483106963,0.6434327323342335,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5504165797716419
mri_derived,0.9026315789473685,0.8818818510934898,0.8153810885935329,0.8260622143047127,0.9788321149027245,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.00885602771834959
genetic,0.9144736842105263,0.8721160678047305,0.823952219685975,0.844305979721957,0.9763236207151694,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.00028489662590747145
demographic,0.9078947368421053,0.8684690947923309,0.815801453079975,0.8333876180693007,0.9745221702351087,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.008435663231907475
none,0.9024725274725275,0.8270079640239629,0.7881508979115979,0.818958753642681,0.9661190747244134,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.6126373626373627,0.3333333333333333,0.2585507246376812,0.044352586303206265,0.6802099105414859,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5296001732739166
mri_derived,0.8846153846153846,0.8240305379450804,0.7721807551713442,0.7901866128683623,0.9670438354572172,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.015970142740253657
genetic,0.8983516483516484,0.8227161185304007,0.7824077830365863,0.8116732388063875,0.9665159968229148,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.005743114875011557
demographic,0.9038461538461539,0.8384995600272479,0.7944594696115995,0.8218530637357719,0.9683173513868728,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,-0.006308571700001653
none,0.9117221418234442,0.8962121212121211,0.8118447391714464,0.8403250246230775,0.9770170813035793,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.5774240231548481,0.34682539682539687,0.2808480408480409,0.11913420442589528,0.68609033505455,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5309966983234056
mri_derived,0.8972503617945007,0.8863275613275613,0.7938169351142408,0.8163974058148369,0.9774041982191375,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.01802780405720561
genetic,0.9088277858176556,0.8982683982683982,0.8092328235141538,0.8352127550846591,0.9780986686617745,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.002611915657292574
demographic,0.8958031837916064,0.9025613275613277,0.7977931727886469,0.8155146840700089,0.9772227446505353,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.014051566382799474
none,0.8960674157303371,0.8220342157842158,0.7525654698423984,0.8024824649204689,0.9656907349444266,logistic_regression,46,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.6362359550561798,0.33186813186813185,0.26916221033868093,0.08697159040272506,0.6341335896101697,logistic_regression,46,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.48340325950371743
mri_derived,0.898876404494382,0.8351343101343102,0.7598497148981415,0.8084841692350799,0.9672093573481292,logistic_regression,46,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,-0.007284245055743099
genetic,0.8946629213483146,0.8205461205461205,0.7507358694588492,0.7999565448674244,0.9652669609686738,logistic_regression,46,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0018296003835491792
demographic,0.8778089887640449,0.831247224997225,0.7424355151351626,0.7734830671791065,0.9619180879886725,logistic_regression,46,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.010129954707235767
