accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,data_source,intersection_subjects
0.9248554913294798,0.9292682005364767,0.922564250399684,0.8794618930217601,0.9865727057989119,0.2139903035721255,0.1271274275858724,0.9514563106796117,0.9333333333333333,0.9423076923076923,0.9349112426035503,0.9132947976878613,0.9239766081871345,0.8648648648648649,0.9411764705882353,0.9014084507042254,"[[98, 7, 0], [5, 158, 10], [0, 4, 64]]",logistic_regression,42,baseline_only,True,20,1211,173,346,1211,173,346,0.9231464007178506,0.8478979396410589,compact,1730
0.930635838150289,0.9221801244582611,0.9274724589348228,0.8870127219538744,0.9828532348959871,0.26194520252278214,0.13699942196531792,1.0,0.8952380952380953,0.9447236180904522,0.907103825136612,0.9595375722543352,0.9325842696629213,0.8985507246376812,0.9117647058823529,0.9051094890510949,"[[94, 11, 0], [0, 166, 7], [0, 6, 62]]",random_forest,42,baseline_only,True,20,1211,173,346,1211,173,346,0.9990288511654074,0.8789481063109615,compact,1730
0.9219653179190751,0.9044990635946094,0.9169013131462647,0.8719098350540907,0.9863148467328923,0.3034080295851822,0.12212169855088582,0.9894736842105263,0.8952380952380953,0.94,0.8882978723404256,0.9653179190751445,0.925207756232687,0.9206349206349206,0.8529411764705882,0.8854961832061069,"[[94, 11, 0], [1, 167, 5], [0, 10, 58]]",hist_gradient_boosting,42,baseline_only,True,20,1211,173,346,1211,173,346,1.0,0.9139993626945815,compact,1730
0.8930635838150289,0.894925060583,0.8899664311045492,0.8283661129657188,0.9757624476169519,0.26445753661270727,0.15995966370923842,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[97, 8, 0], [10, 152, 11], [0, 8, 60]]",logistic_regression,42,baseline_only,True,69,1211,173,346,1211,173,346,0.9403852667100359,0.8479883431475574,full_primary,1730
0.9219653179190751,0.9104494206160306,0.9177528789293495,0.8726432456750235,0.9801333546238798,0.3806375093858957,0.196978901734104,0.9894736842105263,0.8952380952380953,0.94,0.8967391304347826,0.953757225433526,0.9243697478991597,0.8955223880597015,0.8823529411764706,0.8888888888888888,"[[94, 11, 0], [1, 165, 7], [0, 8, 60]]",random_forest,42,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.8927944347640316,full_primary,1730
0.9190751445086706,0.8936467457888743,0.9114542060444931,0.8662709641797226,0.9843733470174146,0.31400545882133224,0.13051322945897562,1.0,0.8952380952380953,0.9447236180904522,0.8756476683937824,0.976878612716763,0.9234972677595629,0.9322033898305084,0.8088235294117647,0.8661417322834646,"[[94, 11, 0], [0, 169, 4], [0, 13, 55]]",hist_gradient_boosting,42,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.8838648010755596,full_primary,1730
0.8901734104046243,0.8848410269695547,0.8842177127406329,0.8230393410409292,0.9785581011083245,0.25378478458284387,0.14623102727737342,0.8928571428571429,0.9523809523809523,0.9216589861751152,0.8994082840236687,0.8786127167630058,0.8888888888888888,0.8615384615384616,0.8235294117647058,0.8421052631578947,"[[100, 5, 0], [12, 152, 9], [0, 12, 56]]",logistic_regression,43,baseline_only,True,20,1211,173,346,1211,173,346,0.9136663029716502,0.9245528681308498,compact,1730
0.9190751445086706,0.8986380293928747,0.9101994829224633,0.867402105032643,0.9804081190749973,0.26999646103941255,0.14211372832369942,0.98,0.9333333333333333,0.9560975609756097,0.8918918918918919,0.953757225433526,0.9217877094972067,0.9016393442622951,0.8088235294117647,0.8527131782945736,"[[98, 7, 0], [2, 165, 6], [0, 13, 55]]",random_forest,43,baseline_only,True,20,1211,173,346,1211,173,346,0.9990288511654074,0.9288578269591664,compact,1730
0.9161849710982659,0.893736068608561,0.9070233557257733,0.8623990345716598,0.9828533367435847,0.3533762470417772,0.1423212544315102,0.9702970297029703,0.9333333333333333,0.9514563106796117,0.8870967741935484,0.953757225433526,0.9192200557103064,0.9152542372881356,0.7941176470588235,0.8503937007874016,"[[98, 7, 0], [3, 165, 5], [0, 14, 54]]",hist_gradient_boosting,43,baseline_only,True,20,1211,173,346,1211,173,346,1.0,0.9237266801888834,compact,1730
0.884393063583815,0.8864582827350594,0.878477744118725,0.8154445200090678,0.9688093160927292,0.3110864556516986,0.17586599547397624,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9130434782608695,0.8497109826589595,0.8802395209580839,0.8260869565217391,0.8382352941176471,0.8321167883211679,"[[102, 3, 0], [14, 147, 12], [0, 11, 57]]",logistic_regression,43,baseline_only,True,69,1211,173,346,1211,173,346,0.9385902337567638,0.9184458968772694,full_primary,1730
0.9104046242774566,0.8869073255506441,0.8992905286817492,0.8529839085501247,0.9744132643027686,0.38419033014734655,0.19985520231213874,0.98,0.9333333333333333,0.9560975609756097,0.8817204301075269,0.9479768786127167,0.9136490250696379,0.8833333333333333,0.7794117647058824,0.828125,"[[98, 7, 0], [2, 164, 7], [0, 15, 53]]",random_forest,43,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.908300319434641,full_primary,1730
0.9364161849710982,0.9203720794676252,0.9305583293474643,0.8960620459883117,0.9793923567871953,0.36815152358234915,0.11760392624055248,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.912568306010929,0.9653179190751445,0.9382022471910112,0.9354838709677419,0.8529411764705882,0.8923076923076924,"[[99, 6, 0], [2, 167, 4], [0, 10, 58]]",hist_gradient_boosting,43,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9507101086048455,full_primary,1730
0.9046242774566474,0.9105986517921233,0.9006419831496576,0.8479039842282639,0.9823721339962291,0.23137581597401768,0.13326161546779314,0.9099099099099099,0.9619047619047619,0.9351851851851852,0.9320987654320988,0.8728323699421965,0.9014925373134328,0.8356164383561644,0.8970588235294118,0.8652482269503546,"[[101, 4, 0], [10, 151, 12], [0, 7, 61]]",logistic_regression,44,baseline_only,True,20,1211,173,346,1211,173,346,0.9137166532813025,0.8866744595293213,compact,1730
0.930635838150289,0.9237166928428403,0.924376822132324,0.8878428936101244,0.9780347633648097,0.2695011850201315,0.14044552023121387,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9257142857142857,0.9364161849710982,0.9310344827586207,0.8695652173913043,0.8823529411764706,0.8759124087591241,"[[100, 5, 0], [2, 162, 9], [0, 8, 60]]",random_forest,44,baseline_only,True,20,1211,173,346,1211,173,346,0.9990288511654074,0.9309256667499172,compact,1730
0.9248554913294798,0.9049872357420811,0.9152876817695441,0.8771021462041831,0.9786267236154473,0.37617457063220705,0.12950586526450208,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9016393442622951,0.953757225433526,0.9269662921348315,0.9016393442622951,0.8088235294117647,0.8527131782945736,"[[100, 5, 0], [2, 165, 6], [0, 13, 55]]",hist_gradient_boosting,44,baseline_only,True,20,1211,173,346,1211,173,346,1.0,0.9353089720736779,compact,1730
0.8959537572254336,0.9001157688508931,0.8908810938288988,0.834063811363485,0.9764887027399191,0.26968609172393654,0.1559003744583635,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.9254658385093167,0.861271676300578,0.8922155688622755,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[102, 3, 0], [12, 149, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,1211,173,346,1211,173,346,0.9362156621832844,0.8908356682148968,full_primary,1730
0.9248554913294798,0.9096897718625022,0.9171183614988124,0.877515453530485,0.9787529846031174,0.39203084753059175,0.2046160404624277,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9060773480662984,0.9479768786127167,0.9265536723163842,0.890625,0.8382352941176471,0.8636363636363636,"[[99, 6, 0], [2, 164, 7], [0, 11, 57]]",random_forest,44,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9124891335844683,full_primary,1730
0.930635838150289,0.9177663358214191,0.9240481740481741,0.8871463129569732,0.9813017335772384,0.31257223938858886,0.11714050060958957,0.970873786407767,0.9523809523809523,0.9615384615384616,0.9162011173184358,0.9479768786127167,0.9318181818181818,0.90625,0.8529411764705882,0.8787878787878788,"[[100, 5, 0], [3, 164, 6], [0, 10, 58]]",hist_gradient_boosting,44,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9310513908533711,full_primary,1730
0.9046242774566474,0.9101191150834129,0.9001912965941742,0.8480294943633291,0.9785332701936001,0.26632907986702337,0.1519510806715435,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9375,0.8670520231213873,0.9009009009009009,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[103, 2, 0], [12, 150, 11], [0, 8, 60]]",logistic_regression,45,baseline_only,True,20,1211,173,346,1211,173,346,0.9281945271495552,0.8671762369474262,compact,1730
0.9248554913294798,0.9148718446916339,0.9198005543326017,0.8777617740576678,0.9838596423204038,0.2581738137531433,0.13662341040462425,0.9896907216494846,0.9142857142857143,0.9504950495049505,0.9060773480662984,0.9479768786127167,0.9265536723163842,0.8823529411764706,0.8823529411764706,0.8823529411764706,"[[96, 9, 0], [1, 164, 8], [0, 8, 60]]",random_forest,45,baseline_only,True,20,1211,173,346,1211,173,346,0.9980601469237834,0.9165717523728573,compact,1730
0.9161849710982659,0.894983889509561,0.905713952624024,0.8627941638976631,0.9823451369157253,0.3501850071747082,0.13985922406503817,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.8913043478260869,0.9479768786127167,0.9187675070028011,0.8852459016393442,0.7941176470588235,0.8372093023255814,"[[99, 6, 0], [2, 164, 7], [0, 14, 54]]",hist_gradient_boosting,45,baseline_only,True,20,1211,173,346,1211,173,346,1.0,0.8778393573880248,compact,1730
0.8728323699421965,0.8809580479590681,0.8683623670020871,0.7979535229399196,0.9718701844130034,0.31019822543049463,0.18123816187049313,0.8839285714285714,0.9428571428571428,0.9124423963133641,0.9056603773584906,0.8323699421965318,0.8674698795180723,0.7866666666666666,0.8676470588235294,0.8251748251748252,"[[99, 6, 0], [13, 144, 16], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,1211,173,346,1211,173,346,0.9437734352874539,0.8683700601534815,full_primary,1730
0.9248554913294798,0.9186153073946342,0.9186725407522776,0.8785571575139046,0.9751406465217914,0.3901409133817914,0.20365982658959533,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.92,0.930635838150289,0.9252873563218391,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[99, 6, 0], [2, 161, 10], [0, 8, 60]]",random_forest,45,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9089423076923078,full_primary,1730
0.9248554913294798,0.9029711306487913,0.9172059101468971,0.8764132928521383,0.9830378552232993,0.3530781567053756,0.13034057184651374,1.0,0.9142857142857143,0.9552238805970149,0.8888888888888888,0.9710982658959537,0.9281767955801105,0.9180327868852459,0.8235294117647058,0.8682170542635659,"[[96, 9, 0], [0, 168, 5], [0, 12, 56]]",hist_gradient_boosting,45,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9140746084276935,full_primary,1730
0.8988439306358381,0.9075133714372069,0.8927441352973268,0.8397151668365254,0.979916510369045,0.27100474791767426,0.15565021352496203,0.9043478260869565,0.9904761904761905,0.9454545454545454,0.9423076923076923,0.8497109826589595,0.8936170212765957,0.8,0.8823529411764706,0.8391608391608392,"[[104, 1, 0], [11, 147, 15], [0, 8, 60]]",logistic_regression,46,baseline_only,True,20,1211,173,346,1211,173,346,0.9214588203840629,0.8973941210128693,compact,1730
0.9104046242774566,0.9124361112460398,0.9052579324012034,0.8563642450619351,0.9842392957841372,0.2659582090571178,0.14171257225433526,0.9797979797979798,0.9238095238095239,0.9509803921568627,0.9176470588235294,0.9017341040462428,0.9096209912536443,0.8051948051948052,0.9117647058823529,0.8551724137931035,"[[97, 8, 0], [2, 156, 15], [0, 6, 62]]",random_forest,46,baseline_only,True,20,1211,173,346,1211,173,346,0.9990288511654074,0.8860782310881451,compact,1730
0.9161849710982659,0.9068846035524035,0.9077796042691958,0.8644200626959248,0.9843157030263817,0.3004252335853483,0.13994939119908728,0.99,0.9428571428571428,0.9658536585365853,0.9090909090909091,0.9248554913294798,0.9169054441260746,0.8285714285714286,0.8529411764705882,0.8405797101449275,"[[99, 6, 0], [1, 160, 12], [0, 10, 58]]",hist_gradient_boosting,46,baseline_only,True,20,1211,173,346,1211,173,346,1.0,0.9025176722085995,compact,1730
0.8815028901734104,0.9006552139160094,0.8774722787769266,0.8141223024410698,0.9708668821834457,0.3407123567614891,0.18839786470409048,0.8803418803418803,0.9809523809523809,0.9279279279279279,0.9459459459459459,0.8092485549132948,0.8722741433021807,0.7654320987654321,0.9117647058823529,0.8322147651006712,"[[103, 2, 0], [14, 140, 19], [0, 6, 62]]",logistic_regression,46,baseline_only,True,69,1211,173,346,1211,173,346,0.9420952715973927,0.8946259985475672,full_primary,1730
0.8930635838150289,0.8931977029732895,0.8852707800769407,0.828960025651988,0.9798240535473274,0.3764706151707122,0.19994031791907516,0.98,0.9333333333333333,0.9560975609756097,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.7564102564102564,0.8676470588235294,0.8082191780821918,"[[98, 7, 0], [2, 152, 19], [0, 9, 59]]",random_forest,46,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9010178453403833,full_primary,1730
0.9190751445086706,0.9033405655132959,0.9108302076224728,0.8679821214433664,0.9866010975650821,0.2826187268535862,0.12551383745105535,1.0,0.9238095238095239,0.9603960396039604,0.8961748633879781,0.9479768786127167,0.9213483146067416,0.8636363636363636,0.8382352941176471,0.8507462686567164,"[[97, 8, 0], [0, 164, 9], [0, 11, 57]]",hist_gradient_boosting,46,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.8789898094816128,full_primary,1730
