accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,masked_modality,absolute_drop,relative_drop
0.8930635838150289,0.894925060583,0.8899664311045492,0.8283661129657188,0.9757624476169519,0.26445753661270727,0.15995966370923842,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[97, 8, 0], [10, 152, 11], [0, 8, 60]]",logistic_regression,42,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9403852667100359,0.8479883431475574,none,0.0,0.0
0.4479768786127168,0.3532666245689027,0.32801784062385364,0.035057748185787,0.5662578634721954,1.216906884502598,0.672629623424199,0.34513274336283184,0.37142857142857144,0.3577981651376147,0.5089285714285714,0.6589595375722543,0.5743073047858942,0.2222222222222222,0.029411764705882353,0.05194805194805195,"[[39, 65, 1], [53, 114, 6], [21, 45, 2]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,cognitive,0.5619485904806956,0.6314267267173815
0.7976878612716763,0.855910957832073,0.7981702593003962,0.6968521184054071,0.9778702207237605,0.43434463817209856,0.2727385181700703,0.8771929824561403,0.9523809523809523,0.91324200913242,0.9478260869565217,0.630057803468208,0.7569444444444444,0.5726495726495726,0.9852941176470589,0.7243243243243244,"[[100, 5, 0], [14, 109, 50], [0, 1, 67]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,mri_structural,0.091796171804153,0.1031456565055196
0.8959537572254336,0.8926288434448925,0.8926288434448925,0.8319889934986107,0.9761993992719097,0.25853320949928366,0.1527671560316358,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8959537572254336,0.8959537572254336,0.8959537572254336,0.8676470588235294,0.8676470588235294,0.8676470588235294,"[[96, 9, 0], [9, 155, 9], [0, 9, 59]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,pet_fdg,-0.0026624123403432565,-0.00299158737598552
0.9017341040462428,0.8994575865028093,0.898768933295569,0.841402089652848,0.9747945726693586,0.2679693400283465,0.15819665829727114,0.9230769230769231,0.9142857142857143,0.9186602870813397,0.9017341040462428,0.9017341040462428,0.9017341040462428,0.8695652173913043,0.8823529411764706,0.8759124087591241,"[[96, 9, 0], [8, 156, 9], [0, 8, 60]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.008802502191019745,-0.009890824960773906
0.9075144508670521,0.9003359725393048,0.9033939115098536,0.8500318303105825,0.974531231916569,0.2679978991051869,0.15458941941392762,0.9411764705882353,0.9142857142857143,0.927536231884058,0.8983050847457628,0.9190751445086706,0.9085714285714286,0.8805970149253731,0.8676470588235294,0.8740740740740741,"[[96, 9, 0], [6, 159, 8], [0, 9, 59]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,all_pet,-0.013427480405304393,-0.015087625708128528
0.7774566473988439,0.8444395870101413,0.7788071507672836,0.6682109143440683,0.9757149542706194,0.5409598605377374,0.3379772145951329,0.7428571428571429,0.9904761904761905,0.8489795918367347,0.9705882352941176,0.5722543352601156,0.72,0.6346153846153846,0.9705882352941176,0.7674418604651163,"[[104, 1, 0], [36, 99, 38], [0, 2, 66]]",logistic_regression,42,baseline_only,True,69,,,,,,,,,genetic,0.11115928033726563,0.12490277886021427
0.884393063583815,0.8864582827350594,0.878477744118725,0.8154445200090678,0.9688093160927292,0.3110864556516986,0.17586599547397624,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9130434782608695,0.8497109826589595,0.8802395209580839,0.8260869565217391,0.8382352941176471,0.8321167883211679,"[[102, 3, 0], [14, 147, 12], [0, 11, 57]]",logistic_regression,43,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9385902337567638,0.9184458968772694,none,0.0,0.0
0.41329479768786126,0.3691164327002478,0.30756924446670286,0.06729875441531885,0.5004219117458156,1.5700501032782472,0.7959445145089209,0.3393665158371041,0.7142857142857143,0.4601226993865031,0.5619834710743802,0.3930635838150289,0.46258503401360546,0.0,0.0,0.0,"[[75, 30, 0], [101, 68, 4], [45, 23, 0]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,cognitive,0.5709084996520222,0.6498838513259645
0.8815028901734104,0.8709034288089031,0.8772625770217211,0.8081936181719849,0.974482827742383,0.3109891765765326,0.18007944089322903,0.8306451612903226,0.9809523809523809,0.8995633187772926,0.8928571428571429,0.8670520231213873,0.8797653958944281,0.9629629629629629,0.7647058823529411,0.8524590163934426,"[[103, 2, 0], [21, 150, 2], [0, 16, 52]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,mri_structural,0.0012151670970039774,0.001383264522225334
0.8930635838150289,0.8850404516334471,0.886142813653029,0.8273662634680475,0.9690900916395799,0.3028168595027103,0.1642212302249597,0.8938053097345132,0.9619047619047619,0.926605504587156,0.9,0.884393063583815,0.892128279883382,0.873015873015873,0.8088235294117647,0.8396946564885496,"[[101, 4, 0], [12, 153, 8], [0, 13, 55]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,pet_fdg,-0.007665069534304014,-0.00872539980166884
0.884393063583815,0.8924086397564807,0.8801879801879803,0.8163823068962772,0.9690077820777775,0.3139072003349072,0.18084273062991835,0.8717948717948718,0.9714285714285714,0.918918918918919,0.9235668789808917,0.838150289017341,0.8787878787878788,0.8194444444444444,0.8676470588235294,0.8428571428571429,"[[102, 3, 0], [15, 145, 13], [0, 9, 59]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.0017102360692552443,-0.001946817754581735
0.8872832369942196,0.8824347079872412,0.8797653828860162,0.8188797766532891,0.9695148590359182,0.3016375920284066,0.16710206801347077,0.8869565217391304,0.9714285714285714,0.9272727272727272,0.9036144578313253,0.8670520231213873,0.8849557522123894,0.8461538461538461,0.8088235294117647,0.8270676691729323,"[[102, 3, 0], [13, 150, 10], [0, 13, 55]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,all_pet,-0.0012876387672912104,-0.001465761399092642
0.8121387283236994,0.7564172104294511,0.7966674808780073,0.6748872441309124,0.9698358218564446,0.5178380770816564,0.2790026408142754,0.9848484848484849,0.6190476190476191,0.7602339181286549,0.7307692307692307,0.9884393063583815,0.8402948402948403,0.9782608695652174,0.6617647058823529,0.7894736842105263,"[[65, 40, 0], [1, 171, 1], [0, 23, 45]]",logistic_regression,43,baseline_only,True,69,,,,,,,,,genetic,0.08181026324071772,0.09312730321106595
0.8959537572254336,0.9001157688508931,0.8908810938288988,0.834063811363485,0.9764887027399191,0.26968609172393654,0.1559003744583635,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.9254658385093167,0.861271676300578,0.8922155688622755,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[102, 3, 0], [12, 149, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9362156621832844,0.8908356682148968,none,0.0,0.0
0.20520231213872833,0.3331633231327213,0.1273960776869291,-0.0005152416904135038,0.4828899322502762,2.983960703607904,1.3723294568219553,0.0,0.0,0.0,0.5,0.028901734104046242,0.0546448087431694,0.19701492537313434,0.9705882352941176,0.32754342431761785,"[[0, 4, 101], [0, 5, 168], [1, 1, 66]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,cognitive,0.7634850161419697,0.8569999087763821
0.8930635838150289,0.8977094498685795,0.8917674482259766,0.8293294227436342,0.9788909523093713,0.26341753589327865,0.14908844639101754,0.8387096774193549,0.9904761904761905,0.9082969432314411,0.930379746835443,0.8497109826589595,0.8882175226586103,0.90625,0.8529411764705882,0.8787878787878788,"[[104, 1, 0], [20, 147, 6], [0, 10, 58]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,mri_structural,-0.0008863543970778487,-0.0009949188541743602
0.9104046242774566,0.9025515022964871,0.9051863734516683,0.8550951756933843,0.98031064501163,0.24316295216518236,0.13637864696119714,0.9099099099099099,0.9619047619047619,0.9351851851851852,0.9127906976744186,0.9075144508670521,0.9101449275362319,0.9047619047619048,0.8382352941176471,0.8702290076335878,"[[101, 4, 0], [10, 157, 6], [0, 11, 57]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,pet_fdg,-0.014305279622769507,-0.01605745112547753
0.8988439306358381,0.8995469093224958,0.893418488267859,0.8379391100702576,0.9762513439178173,0.2649586242527101,0.1521731877296685,0.9174311926605505,0.9523809523809523,0.9345794392523364,0.9156626506024096,0.8786127167630058,0.8967551622418879,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[100, 5, 0], [9, 152, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.002537394438960172,-0.002848185303893653
0.9161849710982659,0.905157245942693,0.9101768927249189,0.8639439178836323,0.9800540080897749,0.24289209181631438,0.13561615151024664,0.9345794392523364,0.9523809523809523,0.9433962264150944,0.9090909090909091,0.9248554913294798,0.9169054441260746,0.9047619047619048,0.8382352941176471,0.8702290076335878,"[[100, 5, 0], [7, 160, 6], [0, 11, 57]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,all_pet,-0.019295798896020067,-0.021659230428933075
0.8554913294797688,0.8768842797234501,0.8569455983261024,0.7735246373775986,0.9752205048591204,0.35820393083071234,0.21503881380026846,0.7777777777777778,1.0,0.875,0.9361702127659575,0.7630057803468208,0.8407643312101911,0.8428571428571429,0.8676470588235294,0.855072463768116,"[[105, 0, 0], [30, 132, 11], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,genetic,0.0339354955027964,0.038092059353224975
0.8728323699421965,0.8809580479590681,0.8683623670020871,0.7979535229399196,0.9718701844130034,0.31019822543049463,0.18123816187049313,0.8839285714285714,0.9428571428571428,0.9124423963133641,0.9056603773584906,0.8323699421965318,0.8674698795180723,0.7866666666666666,0.8676470588235294,0.8251748251748252,"[[99, 6, 0], [13, 144, 16], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9437734352874539,0.8683700601534815,none,0.0,0.0
0.36416184971098264,0.379632777966678,0.2813547404195476,0.0549147660256013,0.5556050617020069,3.546503241969945,0.9362965385673034,0.0,0.0,0.0,0.5369127516778524,0.4624277456647399,0.4968944099378882,0.233502538071066,0.6764705882352942,0.3471698113207547,"[[0, 47, 58], [0, 80, 93], [0, 22, 46]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,cognitive,0.5870076265825395,0.6759938579663581
0.7398843930635838,0.8253417744747225,0.7403272805227595,0.6228380407925973,0.9639344967300918,0.7399367535640814,0.3949154417723826,0.8188976377952756,0.9904761904761905,0.896551724137931,0.9882352941176471,0.48554913294797686,0.6511627906976745,0.5074626865671642,1.0,0.6732673267326733,"[[104, 1, 0], [23, 84, 66], [0, 0, 68]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,mri_structural,0.1280350864793276,0.14744430590808855
0.8786127167630058,0.8848116125062742,0.8739680263885375,0.8066936256251995,0.9714043238566478,0.3018069723960357,0.17434333123723952,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.906832298136646,0.8439306358381503,0.874251497005988,0.7972972972972973,0.8676470588235294,0.8309859154929577,"[[99, 6, 0], [12, 146, 15], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,pet_fdg,-0.005605659386450412,-0.006455437959389296
0.8786127167630058,0.8890346119179849,0.8744972662403856,0.8075792484309208,0.9716058819778787,0.3131458455486936,0.1834226619728286,0.8849557522123894,0.9523809523809523,0.9174311926605505,0.9171974522292994,0.8323699421965318,0.8727272727272727,0.7894736842105263,0.8823529411764706,0.8333333333333334,"[[100, 5, 0], [13, 144, 16], [0, 8, 60]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.0061348992382984635,-0.007064906853896074
0.8757225433526011,0.881637009331671,0.8714185378381595,0.8019119135112105,0.971045526342016,0.3043258404358153,0.1766434713185319,0.8909090909090909,0.9333333333333333,0.9116279069767442,0.9012345679012346,0.8439306358381503,0.8716417910447761,0.7972972972972973,0.8676470588235294,0.8309859154929577,"[[98, 7, 0], [12, 146, 15], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,all_pet,-0.003056170836072347,-0.003519464859610851
0.8323699421965318,0.8521577802604664,0.8305005570065811,0.7365124798130326,0.9545051539945888,0.4604546505435641,0.25942091849221915,0.9777777777777777,0.8380952380952381,0.9025641025641026,0.8616352201257862,0.791907514450867,0.8253012048192772,0.6494845360824743,0.9264705882352942,0.7636363636363637,"[[88, 17, 0], [2, 137, 34], [0, 5, 63]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,genetic,0.037861809995506035,0.04360139434210998
0.8815028901734104,0.9006552139160094,0.8774722787769266,0.8141223024410698,0.9708668821834457,0.3407123567614891,0.18839786470409048,0.8803418803418803,0.9809523809523809,0.9279279279279279,0.9459459459459459,0.8092485549132948,0.8722741433021807,0.7654320987654321,0.9117647058823529,0.8322147651006712,"[[103, 2, 0], [14, 140, 19], [0, 6, 62]]",logistic_regression,46,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9420952715973927,0.8946259985475672,none,0.0,0.0
0.28901734104046245,0.32705105163452663,0.2695176198425781,0.004514514280367865,0.4881911134639442,1.5737823829736346,0.9084530831418006,0.30303030303030304,0.5714285714285714,0.39603960396039606,0.625,0.11560693641618497,0.1951219512195122,0.1724137931034483,0.29411764705882354,0.21739130434782608,"[[60, 7, 38], [95, 20, 58], [43, 5, 20]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,cognitive,0.6079546589343485,0.6928477099946133
0.6763005780346821,0.7842003853564546,0.6774281839784023,0.5451376254475028,0.9408602966303974,1.1585776168361335,0.5336814714887418,0.8467741935483871,1.0,0.9170305676855895,1.0,0.35260115606936415,0.5213675213675214,0.422360248447205,1.0,0.5938864628820961,"[[105, 0, 0], [19, 61, 93], [0, 0, 68]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,mri_structural,0.20004409479852425,0.227977680477106
0.869942196531792,0.880279086586465,0.8648153935357689,0.79412114720933,0.9694062614866427,0.32904238016810233,0.1811094454460707,0.8849557522123894,0.9523809523809523,0.9174311926605505,0.9102564102564102,0.8208092485549133,0.8632218844984803,0.7662337662337663,0.8676470588235294,0.8137931034482758,"[[100, 5, 0], [13, 142, 18], [0, 9, 59]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,pet_fdg,0.012656885241157712,0.014424256523293974
0.884393063583815,0.9068049956013233,0.8804621161932239,0.819314072352703,0.9707677184304949,0.3513144716101679,0.19231322148206276,0.8813559322033898,0.9904761904761905,0.9327354260089686,0.9586206896551724,0.8034682080924855,0.8742138364779874,0.7590361445783133,0.9264705882352942,0.8344370860927153,"[[104, 1, 0], [14, 139, 20], [0, 5, 63]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.002989837416297325,-0.003407329768257454
0.8757225433526011,0.8925786499570926,0.8714247708055757,0.8046121923672944,0.9696490525061227,0.3362243421369142,0.1830343730246361,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9333333333333333,0.8092485549132948,0.8668730650154799,0.7625,0.8970588235294118,0.8243243243243243,"[[102, 3, 0], [14, 140, 19], [0, 7, 61]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,all_pet,0.006047507971350896,0.006891964700902318
0.8179190751445087,0.8452102999195824,0.8184721374960023,0.715021571447248,0.9471379393727709,0.5275852440089717,0.28786224343080413,0.9880952380952381,0.7904761904761904,0.8783068783068783,0.8481012658227848,0.7745664739884393,0.8096676737160121,0.6346153846153846,0.9705882352941176,0.7674418604651163,"[[83, 22, 0], [1, 134, 38], [0, 2, 66]]",logistic_regression,46,baseline_only,True,69,,,,,,,,,genetic,0.059000141280924234,0.0672387523890352
